time,id,x,y,z
0.0,1,-14.2,0.0,0.51
0.0,2,-12.7,0.0,0.51
0.0,3,-11.2,0.0,0.52
0.0,4,-9.7,0.0,0.52
0.0,5,-8.2,0.0,0.52
0.0,6,-6.7,0.0,0.52
0.0,7,-5.2,0.0,0.51
0.0,8,-3.7,0.0,0.51
0.0,9,-2.2,0.0,0.51
0.0,10,-0.7,0.0,0.51
0.0,11,0.7,0.0,0.5
0.0,12,2.2,0.0,0.5
0.0,13,3.7,0.0,0.51
0.0,14,5.2,0.0,0.51
0.0,15,6.7,0.0,0.51
0.0,16,8.2,0.0,0.51
0.0,17,9.7,0.0,0.52
0.0,18,11.2,0.0,0.52
0.0,19,12.7,0.0,0.51
0.0,20,14.2,0.0,0.51
0.03,1,-14.15,0.0,0.52
0.03,2,-12.65,0.0,0.53
0.03,3,-11.16,0.0,0.53
0.03,4,-9.66,0.0,0.54
0.03,5,-8.16,0.0,0.54
0.03,6,-6.66,0.0,0.53
0.03,7,-5.15,0.0,0.53
0.03,8,-3.65,0.0,0.53
0.03,9,-2.15,0.0,0.53
0.03,10,-0.65,0.0,0.52
0.03,11,0.65,0.0,0.49
0.03,12,2.15,0.0,0.51
0.03,13,3.65,0.0,0.52
0.03,14,5.15,0.0,0.52
0.03,15,6.65,0.0,0.52
0.03,16,8.15,0.0,0.53
0.03,17,9.66,0.0,0.53
0.03,18,11.16,0.0,0.53
0.03,19,12.65,0.0,0.53
0.03,20,14.15,0.0,0.52
0.04,1,-14.1,0.0,0.53
0.04,2,-12.61,0.0,0.54
0.04,3,-11.11,0.0,0.55
0.04,4,-9.61,0.0,0.55
0.04,5,-8.11,0.0,0.55
0.04,6,-6.61,0.0,0.55
0.04,7,-5.11,0.0,0.54
0.04,8,-3.61,0.0,0.54
0.04,9,-2.1,0.0,0.54
0.04,10,-0.6,0.0,0.53
0.04,11,0.6,0.0,0.49
0.04,12,2.1,0.0,0.51
0.04,13,3.6,0.0,0.52
0.04,14,5.1,0.0,0.53
0.04,15,6.6,0.0,0.54
0.04,16,8.11,0.0,0.54
0.04,17,9.61,0.0,0.55
0.04,18,11.11,0.0,0.55
0.04,19,12.61,0.0,0.54
0.04,20,14.1,0.0,0.54
0.06,1,-14.06,0.0,0.54
0.06,2,-12.56,0.0,0.55
0.06,3,-11.06,0.0,0.56
0.06,4,-9.56,0.0,0.57
0.06,5,-8.06,0.0,0.57
0.06,6,-6.56,0.0,0.56
0.06,7,-5.06,0.0,0.56
0.06,8,-3.56,0.0,0.55
0.06,9,-2.06,0.0,0.55
0.06,10,-0.55,0.0,0.54
0.06,11,0.55,0.0,0.49
0.06,12,2.05,0.0,0.51
0.06,13,3.55,0.0,0.53
0.06,14,5.05,0.0,0.54
0.06,15,6.56,0.0,0.55
0.06,16,8.06,0.0,0.56
0.06,17,9.56,0.0,0.56
0.06,18,11.06,0.0,0.56
0.06,19,12.56,0.0,0.56
0.06,20,14.06,0.0,0.55
0.09,1,-14.01,0.0,0.55
0.09,2,-12.51,0.0,0.57
0.09,3,-11.01,0.0,0.58
0.09,4,-9.52,0.0,0.59
0.09,5,-8.02,0.0,0.59
0.09,6,-6.51,0.0,0.58
0.09,7,-5.01,0.0,0.57
0.09,8,-3.51,0.0,0.57
0.09,9,-2.01,0.0,0.56
0.09,10,-0.51,0.0,0.55
0.09,11,0.5,0.0,0.48
0.09,12,2.0,0.0,0.52
0.09,13,3.5,0.0,0.54
0.09,14,5.01,0.0,0.55
0.09,15,6.51,0.0,0.56
0.09,16,8.01,0.0,0.57
0.09,17,9.51,0.0,0.58
0.09,18,11.01,0.0,0.58
0.09,19,12.51,0.0,0.57
0.09,20,14.01,0.0,0.56
0.1,1,-13.96,0.0,0.57
0.1,2,-12.46,0.0,0.58
0.1,3,-10.97,0.0,0.6
0.1,4,-9.47,0.0,0.61
0.1,5,-7.97,0.0,0.61
0.1,6,-6.47,0.0,0.6
0.1,7,-4.96,0.0,0.59
0.1,8,-3.46,0.0,0.58
0.1,9,-1.96,0.0,0.58
0.1,10,-0.46,0.0,0.56
0.1,11,0.45,0.0,0.48
0.1,12,1.95,0.0,0.52
0.1,13,3.45,0.0,0.55
0.1,14,4.96,0.0,0.56
0.1,15,6.46,0.0,0.57
0.1,16,7.96,0.0,0.58
0.1,17,9.47,0.0,0.59
0.1,18,10.97,0.0,0.6
0.1,19,12.46,0.0,0.59
0.1,20,13.96,0.0,0.57
0.12,1,-13.91,0.0,0.58
0.12,2,-12.41,0.0,0.59
0.12,3,-10.92,0.0,0.61
0.12,4,-9.42,0.0,0.63
0.12,5,-7.92,0.0,0.62
0.12,6,-6.42,0.0,0.61
0.12,7,-4.92,0.0,0.6
0.12,8,-3.41,0.0,0.59
0.12,9,-1.91,0.0,0.59
0.12,10,-0.41,0.0,0.57
0.12,11,0.4,0.0,0.48
0.12,12,1.9,0.0,0.52
0.12,13,3.4,0.0,0.56
0.12,14,4.91,0.0,0.57
0.12,15,6.41,0.0,0.58
0.12,16,7.91,0.0,0.6
0.12,17,9.42,0.0,0.61
0.12,18,10.92,0.0,0.61
0.12,19,12.42,0.0,0.6
0.12,20,13.91,0.0,0.58
0.16,1,-13.86,0.0,0.59
0.16,2,-12.36,0.0,0.6
0.16,3,-10.87,0.0,0.63
0.16,4,-9.38,0.0,0.64
0.16,5,-7.88,0.0,0.64
0.16,6,-6.37,0.0,0.63
0.16,7,-4.87,0.0,0.61
0.16,8,-3.37,0.0,0.61
0.16,9,-1.86,0.0,0.6
0.16,10,-0.36,0.0,0.58
0.16,11,0.35,0.0,0.47
0.16,12,1.85,0.0,0.53
0.16,13,3.36,0.0,0.57
0.16,14,4.86,0.0,0.58
0.16,15,6.36,0.0,0.6
0.16,16,7.87,0.0,0.61
0.16,17,9.37,0.0,0.62
0.16,18,10.87,0.0,0.63
0.16,19,12.37,0.0,0.62
0.16,20,13.86,0.0,0.59
0.19,1,-13.81,0.0,0.6
0.19,2,-12.32,0.0,0.62
0.19,3,-10.82,0.0,0.65
0.19,4,-9.33,0.0,0.66
0.19,5,-7.83,0.0,0.66
0.19,6,-6.32,0.0,0.64
0.19,7,-4.82,0.0,0.63
0.19,8,-3.32,0.0,0.62
0.19,9,-1.81,0.0,0.61
0.19,10,-0.31,0.0,0.59
0.19,11,0.3,0.0,0.47
0.19,12,1.8,0.0,0.53
0.19,13,3.31,0.0,0.57
0.19,14,4.81,0.0,0.59
0.19,15,6.31,0.0,0.61
0.19,16,7.82,0.0,0.62
0.19,17,9.32,0.0,0.64
0.19,18,10.82,0.0,0.64
0.19,19,12.32,0.0,0.63
0.19,20,13.81,0.0,0.61
0.21,1,-13.76,0.0,0.61
0.21,2,-12.27,0.0,0.63
0.21,3,-10.78,0.0,0.66
0.21,4,-9.28,0.0,0.68
0.21,5,-7.78,0.0,0.68
0.21,6,-6.28,0.0,0.66
0.21,7,-4.77,0.0,0.64
0.21,8,-3.27,0.0,0.63
0.21,9,-1.77,0.0,0.63
0.21,10,-0.26,0.0,0.6
0.21,11,0.25,0.0,0.47
0.21,12,1.75,0.0,0.53
0.21,13,3.26,0.0,0.58
0.21,14,4.76,0.0,0.61
0.21,15,6.27,0.0,0.62
0.21,16,7.77,0.0,0.64
0.21,17,9.28,0.0,0.66
0.21,18,10.78,0.0,0.66
0.21,19,12.27,0.0,0.65
0.21,20,13.76,0.0,0.62
0.22,1,-13.71,0.0,0.62
0.22,2,-12.22,0.0,0.64
0.22,3,-10.73,0.0,0.68
0.22,4,-9.24,0.0,0.7
0.22,5,-7.74,0.0,0.69
0.22,6,-6.23,0.0,0.67
0.22,7,-4.72,0.0,0.66
0.22,8,-3.22,0.0,0.65
0.22,9,-1.72,0.0,0.64
0.22,10,-0.21,0.0,0.61
0.22,11,0.2,0.0,0.46
0.22,12,1.7,0.0,0.54
0.22,13,3.21,0.0,0.59
0.22,14,4.71,0.0,0.62
0.22,15,6.22,0.0,0.63
0.22,16,7.72,0.0,0.65
0.22,17,9.23,0.0,0.67
0.22,18,10.73,0.0,0.68
0.22,19,12.22,0.0,0.66
0.22,20,13.72,0.0,0.63
0.24,1,-13.67,0.0,0.63
0.24,2,-12.17,0.0,0.66
0.24,3,-10.68,0.0,0.69
0.24,4,-9.19,0.0,0.72
0.24,5,-7.69,0.0,0.71
0.24,6,-6.18,0.0,0.69
0.24,7,-4.68,0.0,0.67
0.24,8,-3.17,0.0,0.66
0.24,9,-1.67,0.0,0.65
0.24,10,-0.16,0.0,0.62
0.24,11,0.15,0.0,0.46
0.24,12,1.65,0.0,0.54
0.24,13,3.16,0.0,0.6
0.24,14,4.66,0.0,0.63
0.24,15,6.17,0.0,0.64
0.24,16,7.67,0.0,0.67
0.24,17,9.18,0.0,0.69
0.24,18,10.68,0.0,0.69
0.24,19,12.18,0.0,0.67
0.24,20,13.67,0.0,0.64
0.25,1,-13.62,0.0,0.64
0.25,2,-12.12,0.0,0.67
0.25,3,-10.64,0.0,0.71
0.25,4,-9.14,0.0,0.73
0.25,5,-7.64,0.0,0.73
0.25,6,-6.13,0.0,0.71
0.25,7,-4.63,0.0,0.69
0.25,8,-3.12,0.0,0.68
0.25,9,-1.62,0.0,0.66
0.25,10,-0.12,0.0,0.63
0.25,11,0.1,0.0,0.46
0.25,12,1.6,0.0,0.55
0.25,13,3.11,0.0,0.61
0.25,14,4.61,0.0,0.64
0.25,15,6.12,0.0,0.66
0.25,16,7.63,0.0,0.68
0.25,17,9.13,0.0,0.7
0.25,18,10.64,0.0,0.71
0.25,19,12.13,0.0,0.69
0.25,20,13.62,0.0,0.65
0.27,1,-13.57,0.0,0.65
0.27,2,-12.08,0.0,0.68
0.27,3,-10.59,0.0,0.73
0.27,4,-9.1,0.0,0.75
0.27,5,-7.6,0.0,0.75
0.27,6,-6.09,0.0,0.72
0.27,7,-4.58,0.0,0.7
0.27,8,-3.08,0.0,0.69
0.27,9,-1.57,0.0,0.68
0.27,10,-0.07,0.0,0.64
0.27,11,0.06,0.0,0.45
0.27,12,1.55,0.0,0.55
0.27,13,3.06,0.0,0.62
0.27,14,4.57,0.0,0.65
0.27,15,6.07,0.0,0.67
0.27,16,7.58,0.0,0.69
0.27,17,9.09,0.0,0.72
0.27,18,10.59,0.0,0.72
0.27,19,12.08,0.0,0.7
0.27,20,13.57,0.0,0.67
0.28,1,-13.52,0.0,0.66
0.28,2,-12.03,0.0,0.7
0.28,3,-10.54,0.0,0.74
0.28,4,-9.05,0.0,0.77
0.28,5,-7.55,0.0,0.76
0.28,6,-6.04,0.0,0.74
0.28,7,-4.53,0.0,0.72
0.28,8,-3.03,0.0,0.7
0.28,9,-1.52,0.0,0.69
0.28,10,-0.02,0.0,0.66
0.28,11,0.01,0.0,0.45
0.28,12,1.5,0.0,0.55
0.28,13,3.01,0.0,0.62
0.28,14,4.52,0.0,0.66
0.28,15,6.02,0.0,0.68
0.28,16,7.53,0.0,0.71
0.28,17,9.04,0.0,0.73
0.28,18,10.54,0.0,0.74
0.28,19,12.03,0.0,0.72
0.28,20,13.52,0.0,0.68
0.3,1,-13.47,0.0,0.68
0.3,2,-11.98,0.0,0.71
0.3,3,-10.49,0.0,0.76
0.3,4,-9.0,0.0,0.79
0.3,5,-7.5,0.0,0.78
0.3,6,-5.99,0.0,0.75
0.3,7,-4.48,0.0,0.73
0.3,8,-2.98,0.0,0.72
0.3,9,-1.48,0.0,0.7
0.3,10,0.02,0.0,0.67
0.3,11,0.0,0.0,0.45
0.3,12,1.45,0.0,0.56
0.3,13,2.96,0.0,0.63
0.3,14,4.47,0.0,0.67
0.3,15,5.97,0.0,0.69
0.3,16,7.48,0.0,0.72
0.3,17,8.99,0.0,0.75
0.3,18,10.49,0.0,0.76
0.3,19,11.99,0.0,0.73
0.3,20,13.47,0.0,0.69
0.32,1,-13.42,0.0,0.69
0.32,2,-11.93,0.0,0.72
0.32,3,-10.45,0.0,0.78
0.32,4,-8.96,0.0,0.81
0.32,5,-7.46,0.0,0.8
0.32,6,-5.94,0.0,0.77
0.32,7,-4.44,0.0,0.74
0.32,8,-2.93,0.0,0.73
0.32,9,-1.43,0.0,0.71
0.32,10,0.07,0.0,0.67
0.32,11,0.0,0.0,0.45
0.32,12,1.4,0.0,0.56
0.32,13,2.91,0.0,0.64
0.32,14,4.42,0.0,0.68
0.32,15,5.93,0.0,0.7
0.32,16,7.43,0.0,0.73
0.32,17,8.94,0.0,0.76
0.32,18,10.45,0.0,0.77
0.32,19,11.94,0.0,0.75
0.32,20,13.42,0.0,0.7
0.33,1,-13.37,0.0,0.7
0.33,2,-11.88,0.0,0.74
0.33,3,-10.4,0.0,0.79
0.33,4,-8.91,0.0,0.82
0.33,5,-7.41,0.0,0.82
0.33,6,-5.9,0.0,0.79
0.33,7,-4.39,0.0,0.76
0.33,8,-2.88,0.0,0.74
0.33,9,-1.38,0.0,0.73
0.33,10,0.07,0.0,0.67
0.33,11,0.0,0.0,0.45
0.33,12,1.35,0.0,0.56
0.33,13,2.86,0.0,0.65
0.33,14,4.37,0.0,0.69
0.33,15,5.88,0.0,0.72
0.33,16,7.39,0.0,0.75
0.33,17,8.9,0.0,0.78
0.33,18,10.4,0.0,0.79
0.33,19,11.89,0.0,0.76
0.33,20,13.38,0.0,0.71
0.35,1,-13.32,0.0,0.71
0.35,2,-11.83,0.0,0.75
0.35,3,-10.35,0.0,0.81
0.35,4,-8.86,0.0,0.84
0.35,5,-7.36,0.0,0.83
0.35,6,-5.85,0.0,0.8
0.35,7,-4.34,0.0,0.77
0.35,8,-2.84,0.0,0.76
0.35,9,-1.33,0.0,0.74
0.35,10,0.07,0.0,0.67
0.35,11,0.0,0.0,0.45
0.35,12,1.3,0.0,0.57
0.35,13,2.81,0.0,0.66
0.35,14,4.32,0.0,0.7
0.35,15,5.83,0.0,0.73
0.35,16,7.34,0.0,0.76
0.35,17,8.85,0.0,0.8
0.35,18,10.35,0.0,0.8
0.35,19,11.84,0.0,0.78
0.35,20,13.33,0.0,0.72
0.36,1,-13.28,0.0,0.72
0.36,2,-11.79,0.0,0.76
0.36,3,-10.3,0.0,0.82
0.36,4,-8.82,0.0,0.86
0.36,5,-7.31,0.0,0.85
0.36,6,-5.8,0.0,0.82
0.36,7,-4.29,0.0,0.79
0.36,8,-2.79,0.0,0.77
0.36,9,-1.28,0.0,0.75
0.36,10,0.07,0.0,0.67
0.36,11,0.0,0.0,0.45
0.36,12,1.25,0.0,0.57
0.36,13,2.76,0.0,0.66
0.36,14,4.27,0.0,0.71
0.36,15,5.78,0.0,0.74
0.36,16,7.29,0.0,0.78
0.36,17,8.8,0.0,0.81
0.36,18,10.3,0.0,0.82
0.36,19,11.79,0.0,0.79
0.36,20,13.28,0.0,0.74
0.38,1,-13.23,0.0,0.73
0.38,2,-11.74,0.0,0.78
0.38,3,-10.26,0.0,0.84
0.38,4,-8.77,0.0,0.88
0.38,5,-7.27,0.0,0.87
0.38,6,-5.76,0.0,0.83
0.38,7,-4.25,0.0,0.8
0.38,8,-2.74,0.0,0.78
0.38,9,-1.23,0.0,0.76
0.38,10,0.07,0.0,0.67
0.38,11,0.0,0.0,0.45
0.38,12,1.2,0.0,0.57
0.38,13,2.71,0.0,0.67
0.38,14,4.22,0.0,0.72
0.38,15,5.73,0.0,0.75
0.38,16,7.24,0.0,0.79
0.38,17,8.75,0.0,0.83
0.38,18,10.26,0.0,0.84
0.38,19,11.75,0.0,0.8
0.38,20,13.23,0.0,0.75
0.4,1,-13.18,0.0,0.74
0.4,2,-11.69,0.0,0.79
0.4,3,-10.21,0.0,0.86
0.4,4,-8.72,0.0,0.9
0.4,5,-7.22,0.0,0.89
0.4,6,-5.71,0.0,0.85
0.4,7,-4.2,0.0,0.82
0.4,8,-2.69,0.0,0.8
0.4,9,-1.19,0.0,0.78
0.4,10,0.07,0.0,0.67
0.4,11,0.0,0.0,0.45
0.4,12,1.15,0.0,0.58
0.4,13,2.67,0.0,0.68
0.4,14,4.18,0.0,0.73
0.4,15,5.68,0.0,0.76
0.4,16,7.19,0.0,0.8
0.4,17,8.71,0.0,0.84
0.4,18,10.21,0.0,0.85
0.4,19,11.7,0.0,0.82
0.4,20,13.18,0.0,0.76
0.41,1,-13.13,0.0,0.75
0.41,2,-11.64,0.0,0.8
0.41,3,-10.16,0.0,0.87
0.41,4,-8.68,0.0,0.91
0.41,5,-7.17,0.0,0.9
0.41,6,-5.66,0.0,0.87
0.41,7,-4.15,0.0,0.83
0.41,8,-2.64,0.0,0.81
0.41,9,-1.14,0.0,0.79
0.41,10,0.07,0.0,0.67
0.41,11,0.0,0.0,0.45
0.41,12,1.1,0.0,0.58
0.41,13,2.62,0.0,0.69
0.41,14,4.13,0.0,0.74
0.41,15,5.63,0.0,0.78
0.41,16,7.15,0.0,0.82
0.41,17,8.66,0.0,0.86
0.41,18,10.16,0.0,0.87
0.41,19,11.65,0.0,0.83
0.41,20,13.13,0.0,0.77
0.43,1,-13.08,0.0,0.76
0.43,2,-11.59,0.0,0.81
0.43,3,-10.12,0.0,0.89
0.43,4,-8.63,0.0,0.93
0.43,5,-7.13,0.0,0.92
0.43,6,-5.61,0.0,0.88
0.43,7,-4.1,0.0,0.84
0.43,8,-2.6,0.0,0.82
0.43,9,-1.09,0.0,0.8
0.43,10,0.07,0.0,0.67
0.43,11,0.0,0.0,0.45
0.43,12,1.05,0.0,0.58
0.43,13,2.57,0.0,0.7
0.43,14,4.08,0.0,0.75
0.43,15,5.59,0.0,0.79
0.43,16,7.1,0.0,0.83
0.43,17,8.61,0.0,0.87
0.43,18,10.11,0.0,0.88
0.43,19,11.6,0.0,0.85
0.43,20,13.08,0.0,0.78
0.44,1,-13.03,0.0,0.77
0.44,2,-11.54,0.0,0.83
0.44,3,-10.07,0.0,0.9
0.44,4,-8.59,0.0,0.95
0.44,5,-7.08,0.0,0.94
0.44,6,-5.57,0.0,0.9
0.44,7,-4.05,0.0,0.86
0.44,8,-2.55,0.0,0.84
0.44,9,-1.04,0.0,0.81
0.44,10,0.07,0.0,0.67
0.44,11,0.0,0.0,0.45
0.44,12,1.0,0.0,0.59
0.44,13,2.52,0.0,0.71
0.44,14,4.03,0.0,0.76
0.44,15,5.54,0.0,0.8
0.44,16,7.05,0.0,0.85
0.44,17,8.56,0.0,0.89
0.44,18,10.07,0.0,0.9
0.44,19,11.55,0.0,0.86
0.44,20,13.04,0.0,0.79
0.46,1,-12.98,0.0,0.78
0.46,2,-11.5,0.0,0.84
0.46,3,-10.02,0.0,0.92
0.46,4,-8.54,0.0,0.97
0.46,5,-7.03,0.0,0.96
0.46,6,-5.52,0.0,0.91
0.46,7,-4.01,0.0,0.87
0.46,8,-2.5,0.0,0.85
0.46,9,-0.99,0.0,0.83
0.46,10,0.07,0.0,0.67
0.46,11,0.0,0.0,0.45
0.46,12,0.95,0.0,0.59
0.46,13,2.47,0.0,0.71
0.46,14,3.98,0.0,0.77
0.46,15,5.49,0.0,0.81
0.46,16,7.0,0.0,0.86
0.46,17,8.52,0.0,0.9
0.46,18,10.02,0.0,0.92
0.46,19,11.51,0.0,0.88
0.46,20,12.99,0.0,0.81
0.47,1,-12.93,0.0,0.8
0.47,2,-11.45,0.0,0.85
0.47,3,-9.97,0.0,0.94
0.47,4,-8.49,0.0,0.98
0.47,5,-6.99,0.0,0.97
0.47,6,-5.47,0.0,0.93
0.47,7,-3.96,0.0,0.89
0.47,8,-2.45,0.0,0.86
0.47,9,-0.94,0.0,0.84
0.47,10,0.07,0.0,0.67
0.47,11,0.0,0.0,0.45
0.47,12,0.9,0.0,0.6
0.47,13,2.42,0.0,0.72
0.47,14,3.93,0.0,0.78
0.47,15,5.44,0.0,0.82
0.47,16,6.95,0.0,0.87
0.47,17,8.47,0.0,0.92
0.47,18,9.97,0.0,0.93
0.47,19,11.46,0.0,0.89
0.47,20,12.94,0.0,0.82
0.49,1,-12.89,0.0,0.81
0.49,2,-11.4,0.0,0.87
0.49,3,-9.93,0.0,0.95
0.49,4,-8.45,0.0,1.0
0.49,5,-6.94,0.0,0.99
0.49,6,-5.42,0.0,0.94
0.49,7,-3.91,0.0,0.9
0.49,8,-2.4,0.0,0.88
0.49,9,-0.9,0.0,0.85
0.49,10,0.07,0.0,0.67
0.49,11,0.0,0.0,0.45
0.49,12,0.85,0.0,0.6
0.49,13,2.37,0.0,0.73
0.49,14,3.88,0.0,0.79
0.49,15,5.39,0.0,0.84
0.49,16,6.91,0.0,0.89
0.49,17,8.42,0.0,0.94
0.49,18,9.93,0.0,0.95
0.49,19,11.41,0.0,0.91
0.49,20,12.89,0.0,0.83
0.51,1,-12.84,0.0,0.82
0.51,2,-11.35,0.0,0.88
0.51,3,-9.88,0.0,0.97
0.51,4,-8.4,0.0,1.02
0.51,5,-6.89,0.0,1.01
0.51,6,-5.38,0.0,0.96
0.51,7,-3.86,0.0,0.92
0.51,8,-2.36,0.0,0.89
0.51,9,-0.85,0.0,0.87
0.51,10,0.07,0.0,0.67
0.51,11,0.0,0.0,0.45
0.51,12,0.8,0.0,0.6
0.51,13,2.32,0.0,0.74
0.51,14,3.83,0.0,0.8
0.51,15,5.34,0.0,0.85
0.51,16,6.86,0.0,0.9
0.51,17,8.37,0.0,0.95
0.51,18,9.88,0.0,0.96
0.51,19,11.36,0.0,0.92
0.51,20,12.84,0.0,0.84
0.52,1,-12.79,0.0,0.83
0.52,2,-11.3,0.0,0.89
0.52,3,-9.83,0.0,0.99
0.52,4,-8.35,0.0,1.04
0.52,5,-6.85,0.0,1.03
0.52,6,-5.33,0.0,0.98
0.52,7,-3.81,0.0,0.93
0.52,8,-2.31,0.0,0.9
0.52,9,-0.8,0.0,0.88
0.52,10,0.07,0.0,0.67
0.52,11,0.0,0.0,0.45
0.52,12,0.75,0.0,0.61
0.52,13,2.27,0.0,0.75
0.52,14,3.78,0.0,0.82
0.52,15,5.3,0.0,0.86
0.52,16,6.81,0.0,0.91
0.52,17,8.33,0.0,0.97
0.52,18,9.83,0.0,0.98
0.52,19,11.32,0.0,0.94
0.52,20,12.79,0.0,0.85
0.54,1,-12.74,0.0,0.84
0.54,2,-11.26,0.0,0.91
0.54,3,-9.79,0.0,1.0
0.54,4,-8.31,0.0,1.06
0.54,5,-6.8,0.0,1.04
0.54,6,-5.28,0.0,0.99
0.54,7,-3.77,0.0,0.94
0.54,8,-2.26,0.0,0.92
0.54,9,-0.75,0.0,0.89
0.54,10,0.07,0.0,0.67
0.54,11,0.0,0.0,0.45
0.54,12,0.7,0.0,0.61
0.54,13,2.22,0.0,0.76
0.54,14,3.74,0.0,0.83
0.54,15,5.25,0.0,0.87
0.54,16,6.76,0.0,0.93
0.54,17,8.28,0.0,0.98
0.54,18,9.78,0.0,1.0
0.54,19,11.27,0.0,0.95
0.54,20,12.74,0.0,0.87
0.55,1,-12.69,0.0,0.85
0.55,2,-11.21,0.0,0.92
0.55,3,-9.74,0.0,1.02
0.55,4,-8.26,0.0,1.07
0.55,5,-6.75,0.0,1.06
0.55,6,-5.23,0.0,1.01
0.55,7,-3.72,0.0,0.96
0.55,8,-2.21,0.0,0.93
0.55,9,-0.7,0.0,0.9
0.55,10,0.07,0.0,0.67
0.55,11,0.0,0.0,0.45
0.55,12,0.65,0.0,0.61
0.55,13,2.17,0.0,0.76
0.55,14,3.69,0.0,0.84
0.55,15,5.2,0.0,0.89
0.55,16,6.71,0.0,0.94
0.55,17,8.23,0.0,1.0
0.55,18,9.74,0.0,1.01
0.55,19,11.22,0.0,0.96
0.55,20,12.7,0.0,0.88
0.57,1,-12.64,0.0,0.86
0.57,2,-11.16,0.0,0.93
0.57,3,-9.69,0.0,1.03
0.57,4,-8.21,0.0,1.09
0.57,5,-6.71,0.0,1.08
0.57,6,-5.19,0.0,1.02
0.57,7,-3.67,0.0,0.97
0.57,8,-2.16,0.0,0.94
0.57,9,-0.65,0.0,0.92
0.57,10,0.07,0.0,0.67
0.57,11,0.0,0.0,0.45
0.57,12,0.6,0.0,0.62
0.57,13,2.12,0.0,0.77
0.57,14,3.64,0.0,0.85
0.57,15,5.15,0.0,0.9
0.57,16,6.67,0.0,0.96
0.57,17,8.18,0.0,1.01
0.57,18,9.69,0.0,1.03
0.57,19,11.17,0.0,0.98
0.57,20,12.65,0.0,0.89
0.59,1,-12.59,0.0,0.87
0.59,2,-11.11,0.0,0.95
0.59,3,-9.64,0.0,1.05
0.59,4,-8.17,0.0,1.11
0.59,5,-6.66,0.0,1.1
0.59,6,-5.14,0.0,1.04
0.59,7,-3.62,0.0,0.99
0.59,8,-2.11,0.0,0.96
0.59,9,-0.61,0.0,0.93
0.59,10,0.07,0.0,0.67
0.59,11,0.0,0.0,0.45
0.59,12,0.55,0.0,0.62
0.59,13,2.07,0.0,0.78
0.59,14,3.59,0.0,0.86
0.59,15,5.1,0.0,0.91
0.59,16,6.62,0.0,0.97
0.59,17,8.14,0.0,1.03
0.59,18,9.64,0.0,1.05
0.59,19,11.12,0.0,0.99
0.59,20,12.6,0.0,0.9
0.6,1,-12.54,0.0,0.88
0.6,2,-11.06,0.0,0.96
0.6,3,-9.6,0.0,1.07
0.6,4,-8.12,0.0,1.13
0.6,5,-6.61,0.0,1.11
0.6,6,-5.09,0.0,1.06
0.6,7,-3.58,0.0,1.0
0.6,8,-2.07,0.0,0.97
0.6,9,-0.56,0.0,0.94
0.6,10,0.07,0.0,0.67
0.6,11,0.0,0.0,0.45
0.6,12,0.5,0.0,0.62
0.6,13,2.02,0.0,0.79
0.6,14,3.54,0.0,0.87
0.6,15,5.05,0.0,0.92
0.6,16,6.57,0.0,0.98
0.6,17,8.09,0.0,1.04
0.6,18,9.59,0.0,1.06
0.6,19,11.08,0.0,1.01
0.6,20,12.55,0.0,0.91
0.62,1,-12.5,0.0,0.89
0.62,2,-11.01,0.0,0.97
0.62,3,-9.55,0.0,1.08
0.62,4,-8.07,0.0,1.15
0.62,5,-6.57,0.0,1.13
0.62,6,-5.05,0.0,1.07
0.62,7,-3.53,0.0,1.02
